,track_name,artist,album_name,date_listened,uts,url,tags
10860,Mele Kalikimaka (Merry Christmas),Bing Crosby,White Christmas,"27 Nov 2023, 08:42",1701074542,https://www.last.fm/music/Bing+Crosby/_/Mele+Kalikimaka+(Merry+Christmas),jazz
10861,Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,McCartney II (Special Edition),"27 Nov 2023, 08:38",1701074320,https://www.last.fm/music/Paul+McCartney/_/Wonderful+Christmastime+-+Edited+Version+%2F+Remastered+2011,classic rock
10862,Here Comes Santa Claus (Right Down Santa Claus Lane) - 1947 Version,Gene Autry,Rudolph The Red Nosed Reindeer and other Christmas Classics,"27 Nov 2023, 08:36",1701074176,https://www.last.fm/music/Gene+Autry/_/Here+Comes+Santa+Claus+(Right+Down+Santa+Claus+Lane)+-+1947+Version,country
10863,Blue Christmas,Elvis Presley,Elvis' Christmas Album,"27 Nov 2023, 08:34",1701074052,https://www.last.fm/music/Elvis+Presley/_/Blue+Christmas,rock n roll
10864,Sleigh Ride,The Ronettes,A Christmas Gift for You From Phil Spector,"27 Nov 2023, 08:31",1701073876,https://www.last.fm/music/The+Ronettes/_/Sleigh+Ride,60s
10865,"You're a Mean One, Mr. Grinch",Thurl Ravenscroft,Dr. Seuss' How the Grinch Stole Christmas! (Original TV Soundtrack),"27 Nov 2023, 08:27",1701073679,"https://www.last.fm/music/Thurl+Ravenscroft/_/You%27re+a+Mean+One,+Mr.+Grinch",male vocalists
10866,Santa Baby,Eartha Kitt,The Essential Eartha Kitt,"27 Nov 2023, 08:24",1701073478,https://www.last.fm/music/Eartha+Kitt/_/Santa+Baby,jazz
10867,Jingle Bells - Remastered 1999,Frank Sinatra,A Jolly Christmas from Frank Sinatra,"27 Nov 2023, 08:22",1701073363,https://www.last.fm/music/Frank+Sinatra/_/Jingle+Bells+-+Remastered+1999,jazz
10868,I Want a Hippopotamus for Christmas (Hippo the Hero),Gayla Peevey,I Want A Hippopotamus For Christmas (Hippo The Hero),"27 Nov 2023, 08:20",1701073212,https://www.last.fm/music/Gayla+Peevey/_/I+Want+a+Hippopotamus+for+Christmas+(Hippo+the+Hero),christmas
10869,Jingle Bell Rock,Bobby Helms,Jingle Bell Rock/Captain Santa Claus (And His Reindeer Space Patrol),"27 Nov 2023, 08:18",1701073087,https://www.last.fm/music/Bobby+Helms/_/Jingle+Bell+Rock,country
10870,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),Perry Como,Greatest Christmas Songs,"27 Nov 2023, 08:15",1701072936,https://www.last.fm/music/Perry+Como/_/It%27s+Beginning+to+Look+a+Lot+Like+Christmas+(with+Mitchell+Ayres+&+His+Orchestra),jazz
